id_cotista,perfil_risco,municipio_origem,uf,data_entrada,valor_investido
2824,Arrojado,AFONSO CLAUDIO,ESPIRITO SANTO,2024-08-03,30229.25
5506,Moderado,GUARAPARI,ESPIRITO SANTO,2025-01-21,10425.48
4657,Moderado,MARECHAL FLORIANO,ESPIRITO SANTO,2024-10-31,41434.63
2679,Moderado,SANTA MARIA DE JETIBA,ESPIRITO SANTO,2025-12-22,61322.43
9935,Conservador,VITORIA,ESPIRITO SANTO,2024-09-20,71232.98
7912,Moderado,MARILANDIA,ESPIRITO SANTO,2024-08-08,110151.4
1488,Conservador,NOVA VENECIA,ESPIRITO SANTO,2024-09-25,14558.41
4582,Arrojado,SERRA,ESPIRITO SANTO,2025-01-11,146360.18
9279,Arrojado,MONTANHA,ESPIRITO SANTO,2025-10-25,49662.63
1434,Conservador,VILA VELHA,ESPIRITO SANTO,2025-09-23,63508.72
4257,Moderado,PEDRO CANARIO,ESPIRITO SANTO,2026-01-22,84479.38
9928,Arrojado,CARIACICA,ESPIRITO SANTO,2025-06-05,157659.94
4611,Arrojado,MANTENOPOLIS,ESPIRITO SANTO,2025-06-28,160433.67
5557,Arrojado,VITORIA,ESPIRITO SANTO,2026-04-04,69810.6
1106,Arrojado,IRUPI,ESPIRITO SANTO,2026-02-24,157570.56
3615,Moderado,IBIRACU,ESPIRITO SANTO,2026-01-08,104484.94
7924,Arrojado,CARIACICA,ESPIRITO SANTO,2025-04-05,156667.89
5552,Arrojado,VILA VELHA,ESPIRITO SANTO,2024-11-12,90950.03
4527,Arrojado,SERRA,ESPIRITO SANTO,2026-02-28,52553.26
6514,Conservador,VITORIA,ESPIRITO SANTO,2024-10-02,29619.65
2519,Arrojado,ECOPORANGA,ESPIRITO SANTO,2025-05-06,61055.62
2584,Moderado,DOMINGOS MARTINS,ESPIRITO SANTO,2025-04-19,127737.96
6635,Arrojado,ARACRUZ,ESPIRITO SANTO,2025-10-26,34031.39
5333,Conservador,SANTA LEOPOLDINA,ESPIRITO SANTO,2026-04-02,77190.07
1711,Conservador,VILA VELHA,ESPIRITO SANTO,2026-02-01,37592.28
8527,Moderado,ALEGRE,ESPIRITO SANTO,2025-09-04,82745.06
3045,Moderado,COLATINA,ESPIRITO SANTO,2026-07-01,79190.57
7201,Arrojado,VILA VELHA,ESPIRITO SANTO,2024-09-14,15279.06
5803,Moderado,JOAO NEIVA,ESPIRITO SANTO,2026-04-20,96331.6
6925,Moderado,SANTA MARIA DE JETIBA,ESPIRITO SANTO,2025-10-06,53706.58
4150,Moderado,VITORIA,ESPIRITO SANTO,2026-01-13,49624.0
2139,Arrojado,SERRA,ESPIRITO SANTO,2024-08-19,133759.45
4733,Moderado,SERRA,ESPIRITO SANTO,2026-03-07,59007.15
5741,Moderado,CACHOEIRO DE ITAPEMIRIM,ESPIRITO SANTO,2024-09-14,25274.54
4814,Arrojado,GUARAPARI,ESPIRITO SANTO,2026-05-19,126757.46
2654,Moderado,MARILANDIA,ESPIRITO SANTO,2025-05-06,46113.98
5554,Conservador,SAO MATEUS,ESPIRITO SANTO,2025-07-02,26518.53
6977,Moderado,GUARAPARI,ESPIRITO SANTO,2024-11-18,88564.67
7065,Moderado,LINHARES,ESPIRITO SANTO,2025-04-16,35644.17
4432,Arrojado,LINHARES,ESPIRITO SANTO,2025-12-17,146344.09
5374,Conservador,CARIACICA,ESPIRITO SANTO,2026-01-11,43658.9
2169,Moderado,CASTELO,ESPIRITO SANTO,2025-10-31,108210.82
3803,Moderado,VARGEM ALTA,ESPIRITO SANTO,2025-09-02,36956.88
5010,Conservador,VILA VELHA,ESPIRITO SANTO,2024-11-18,23363.19
8573,Arrojado,LINHARES,ESPIRITO SANTO,2025-05-05,27016.66
5422,Moderado,GUARAPARI,ESPIRITO SANTO,2026-07-03,33332.23
4598,Moderado,SAO GABRIEL DA PALHA,ESPIRITO SANTO,2025-12-28,39278.13
6313,Conservador,ITAPEMIRIM,ESPIRITO SANTO,2026-04-30,61322.34
1916,Conservador,MARECHAL FLORIANO,ESPIRITO SANTO,2025-01-08,36885.96
1525,Arrojado,CARIACICA,ESPIRITO SANTO,2026-04-01,100463.03
6168,Moderado,VITORIA,ESPIRITO SANTO,2025-05-22,111800.36
5386,Arrojado,LINHARES,ESPIRITO SANTO,2024-09-04,125150.33
4456,Moderado,MUQUI,ESPIRITO SANTO,2026-06-24,124004.75
6155,Moderado,VILA VALERIO,ESPIRITO SANTO,2024-12-27,96312.88
9179,Arrojado,COLATINA,ESPIRITO SANTO,2025-05-18,105398.87
8517,Arrojado,PANCAS,ESPIRITO SANTO,2024-11-02,93321.28
5339,Moderado,VILA VELHA,ESPIRITO SANTO,2024-10-31,86519.37
5040,Moderado,MARECHAL FLORIANO,ESPIRITO SANTO,2026-02-13,85209.81
9830,Conservador,VILA VELHA,ESPIRITO SANTO,2025-02-04,26429.61
8019,Moderado,VILA VELHA,ESPIRITO SANTO,2026-06-12,74818.27
7543,Moderado,CARIACICA,ESPIRITO SANTO,2025-04-22,93273.98
4593,Conservador,SANTA TERESA,ESPIRITO SANTO,2024-10-30,35569.95
9348,Moderado,SAO MATEUS,ESPIRITO SANTO,2025-08-02,34820.13
2489,Arrojado,GUARAPARI,ESPIRITO SANTO,2026-02-22,111373.1
1771,Arrojado,SAO GABRIEL DA PALHA,ESPIRITO SANTO,2026-05-14,141323.11
2796,Conservador,CACHOEIRO DE ITAPEMIRIM,ESPIRITO SANTO,2024-11-10,31381.91
3621,Arrojado,VARGEM ALTA,ESPIRITO SANTO,2026-03-22,172316.01
7916,Arrojado,GUARAPARI,ESPIRITO SANTO,2025-10-21,105111.83
2040,Moderado,MARATAIZES,ESPIRITO SANTO,2025-05-09,36330.6
7252,Conservador,GUARAPARI,ESPIRITO SANTO,2025-10-20,30209.72
8668,Moderado,VENDA NOVA DO IMIGRANTE,ESPIRITO SANTO,2025-08-29,29805.37
5119,Conservador,LINHARES,ESPIRITO SANTO,2025-09-17,51669.27
1188,Moderado,VITORIA,ESPIRITO SANTO,2025-12-25,77727.04
2876,Moderado,VITORIA,ESPIRITO SANTO,2025-12-26,26283.94
9797,Conservador,LINHARES,ESPIRITO SANTO,2026-02-18,33432.79
5371,Moderado,VILA VELHA,ESPIRITO SANTO,2026-03-03,101347.56
6573,Arrojado,CACHOEIRO DE ITAPEMIRIM,ESPIRITO SANTO,2024-10-09,152267.51
5808,Conservador,VILA VELHA,ESPIRITO SANTO,2025-06-17,6453.75
3591,Arrojado,ARACRUZ,ESPIRITO SANTO,2025-07-02,72743.46
1053,Arrojado,ITAPEMIRIM,ESPIRITO SANTO,2026-01-26,122539.52
5315,Arrojado,VARGEM ALTA,ESPIRITO SANTO,2025-08-07,47894.51
3927,Conservador,VITORIA,ESPIRITO SANTO,2025-08-13,14466.57
2743,Moderado,PIUMA,ESPIRITO SANTO,2026-05-22,36155.74
5889,Arrojado,SAO GABRIEL DA PALHA,ESPIRITO SANTO,2026-04-29,42685.21
9317,Arrojado,BARRA DE SAO FRANCISCO,ESPIRITO SANTO,2025-10-31,33897.92
4258,Arrojado,SOORETAMA,ESPIRITO SANTO,2024-11-10,32836.29
7126,Moderado,VITORIA,ESPIRITO SANTO,2026-02-27,91281.67
3646,Moderado,BREJETUBA,ESPIRITO SANTO,2025-09-06,95801.76
9689,Moderado,VITORIA,ESPIRITO SANTO,2026-06-28,85269.09
1009,Arrojado,VITORIA,ESPIRITO SANTO,2025-10-23,155298.38
6310,Conservador,MARATAIZES,ESPIRITO SANTO,2025-07-29,78788.33
1319,Moderado,BAIXO GUANDU,ESPIRITO SANTO,2024-10-09,61405.36
6947,Moderado,CACHOEIRO DE ITAPEMIRIM,ESPIRITO SANTO,2026-05-28,50947.74
6038,Arrojado,BOM JESUS DO NORTE,ESPIRITO SANTO,2025-01-16,32413.91
1949,Moderado,AGUIA BRANCA,ESPIRITO SANTO,2025-01-18,109444.88
2290,Moderado,SANTA TERESA,ESPIRITO SANTO,2024-09-19,98055.44
