id_operacao,id_projeto,data_hora,veiculo_modelo,energia_consumida_kwh,tempo_utilizacao_min,receita_gerada_brl
210de1a5-1409-4441-be29-f762063ce1bf,20,2025-08-21 02:48:11,BYD Seal,42.62,99,89.5
30ea6379-5225-4dcb-8428-878974725288,14,2026-03-01 03:59:11,GWM Ora,35.71,59,74.99
02ed4000-df49-449e-9a91-ebac2796a0ea,8,2026-02-25 05:24:11,Renault Kwid E-Tech,15.64,41,32.84
50b04060-c6bd-497d-ab6f-d459a538f4b8,13,2026-05-02 02:31:11,Nissan Leaf,43.95,26,92.3
a7f050fc-eb44-4b19-8b4e-6f97fffd80f7,15,2026-03-27 14:08:11,BYD Dolphin,47.16,92,99.04
328156d4-452e-4f17-bfa8-3b412b5fcb29,4,2025-12-09 22:05:11,Volvo XC40,40.34,22,84.71
e68f49af-bc36-493f-826c-373bf0f1c8bd,4,2025-12-26 22:07:11,GWM Ora,10.95,23,23.0
664d37df-2db7-443b-8f96-fd1a1487b8c6,4,2025-10-02 07:24:11,BYD Seal,51.29,111,107.71
da199252-71ab-451b-92f6-d48510008826,8,2026-05-21 22:22:11,Nissan Leaf,47.33,107,99.39
6dc5317d-54ed-4792-9e09-5d5d1d0e9075,4,2026-03-17 06:49:11,Volvo XC40,17.81,65,37.4
9f84dc32-4d54-4fda-abb8-efac32486395,17,2025-08-27 12:58:11,Porsche Taycan,15.44,71,32.42
9c005622-780e-4ae2-820f-62e2c5edd268,10,2025-09-29 01:25:11,Nissan Leaf,59.06,25,124.03
f0ee6e85-57da-4c87-8845-b70ff0a13c35,3,2026-03-08 13:06:11,Nissan Leaf,17.37,96,36.48
6c5d083a-5923-4907-ac18-2e8a11f0bcd2,12,2026-02-03 00:46:11,BYD Dolphin,29.52,64,61.99
9781d6c2-24f4-413d-9774-69d8cfeb3929,17,2025-11-16 21:28:11,Renault Kwid E-Tech,35.38,120,74.3
59c285f8-297f-4451-89c6-e7ad1d21a2eb,14,2026-01-26 12:36:11,Volvo XC40,18.46,69,38.77
e19281e4-9833-4ce9-9101-c674083653bb,1,2026-03-11 12:28:11,BYD Dolphin,51.63,26,108.42
c3731176-f992-4654-9f5d-d4cc0a243f61,6,2026-06-14 10:05:11,BYD Dolphin,41.72,63,87.61
