id_operacao,id_projeto,data_hora,veiculo_modelo,energia_consumida_kwh,tempo_utilizacao_min,preco_kwh_brl,receita_gerada_brl,data_referencia,ano_mes,hora_recarga,custo_energia_brl,margem_bruta_brl
a2607723-17a0-4f49-8d01-280fd89a40c0,28,2025-12-27 14:01:05,Porsche Taycan,21.45,54,1.99,42.69,2025-12-27,2025-12,14,19.3,23.39
0b49452d-46d4-43f3-9450-281c6c6f7633,9,2026-05-06 07:48:48,BYD Seal,18.76,94,2.49,46.71,2026-05-06,2026-05,7,16.88,29.83
217d65a0-c568-41cd-9563-f61600e85ece,13,2026-02-23 21:05:30,Porsche Taycan,27.4,33,2.29,62.75,2026-02-23,2026-02,21,24.66,38.09
295d6fbf-430f-401d-bad4-09e2a319dcb4,30,2025-10-05 16:26:44,Renault Kwid E-Tech,34.77,90,2.49,86.58,2025-10-05,2025-10,16,31.29,55.29
b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,28,2025-08-02 20:05:20,GWM Ora 03,22.62,85,1.99,45.01,2025-08-02,2025-08,20,20.36,24.65
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,22,2025-07-15 23:29:26,Renault Kwid E-Tech,12.71,83,2.29,29.11,2025-07-15,2025-07,23,11.44,17.67
b0e6a969-e213-42b0-b1ee-dba313432e61,11,2026-05-31 20:48:03,GWM Ora 03,20.18,109,2.1,42.38,2026-05-31,2026-05,20,18.16,24.22
093923de-8bab-4e3b-a628-6bfbe767dcea,26,2026-03-20 09:01:40,BYD Seal,40.44,59,2.1,84.92,2026-03-20,2026-03,9,36.4,48.52
8d7248e2-951f-48d0-9e84-f058d5a804eb,17,2026-04-23 06:35:26,BYD Dolphin,14.66,102,1.99,29.17,2026-04-23,2026-04,6,13.19,15.98
0ab54bde-20a0-4502-ae06-809725e97977,16,2025-10-01 21:59:45,Renault Kwid E-Tech,24.59,81,2.29,56.31,2025-10-01,2025-10,21,22.13,34.18
eededb07-e623-4689-9d59-cd2a4eea04e7,22,2026-03-13 13:29:35,Nissan Leaf,17.23,115,2.1,36.18,2026-03-13,2026-03,13,15.51,20.67
0a368ce7-dc57-4131-b8e1-daa7cbceabde,13,2025-09-22 08:17:49,Renault Kwid E-Tech,49.5,84,2.49,123.26,2025-09-22,2025-09,8,44.55,78.71
ae9bec36-35c7-436c-9b99-62c6e61fecc0,5,2025-11-28 06:18:46,GWM Ora 03,24.93,88,2.49,62.08,2025-11-28,2025-11,6,22.44,39.64
5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,17,2026-03-19 17:21:35,Volvo EX30,48.14,44,2.49,119.87,2026-03-19,2026-03,17,43.33,76.54
